PID,SMILES
PID00369,*CC(*)OC(=O)c1ccccc1C
PID00370,*CC(*)OC(=O)c1cccc(C)c1
PID00371,*CC(*)OC(=O)c1ccc(C)cc1
PID00372,*CC(*)OC(=O)CC(C)(C)c1ccccc1
PID00373,*CC(*)OC(=O)c1cccc([Si](C)(C)C)c1
PID00374,*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1
PID00375,*CC(*)OC(=O)C(C)(C)CCC
PID00376,*CC(*)OC(=O)C(C)(C)C(C)(C)CC
PID00377,*CC(*)OC(=O)C(C)(C)C(C)C(C)C
PID00378,*CC(*)OC(=O)C(C)(C)CC(C)(C)C
PID00379,*CC(*)OC(=O)c1cccnc1
PID00380,*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1
PID00381,*CC(*)OC(=O)CCCCCCC
PID00382,*CC(*)OC(F)(C(F)(F)F)C(F)(F)F
PID00383,*CC(*)OC(=O)CCl
PID00384,*CC(*)c1cccs1
PID00385,*CC(*)[SiH2]CC
PID00386,*CC(*)OCCCl
PID00387,*CC(*)OCCOC
PID00388,*CC(*)OCC(F)(F)F
PID00389,*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC
PID00390,*CC(*)OC(=O)C1CCCC1
PID00391,*CC(*)OC(=O)C1(C)CCCCC1
PID00392,*CC(*)P(=O)(c1ccccc1)c1ccccc1
PID00393,*CC(*)P(=O)(OCC)N(C)C
PID00394,*CC(*)P(=O)(Oc1ccccc1)N(C)C
PID00395,*CC(*)c1nc(C)nc(C)n1
PID00396,*CC(*)OC(=O)CCCCCCCCC
PID00397,*CC(*)OC(=O)CCCCC
PID00398,*C1Cc2ccccc2C1*
PID00399,*CC(OC)C1C(=O)OC(=O)C1*
PID00400,*CC(OC)C(C(=O)O)C(*)C(=O)O
PID00401,*C#C/C(OS(=O)(=O)c1ccc(C)cc1)=C(/*)OS(=O)(=O)c1ccc(C)cc1
PID00402,*CCC/C=C(/*)c1ccc(OC)cc1
PID00403,*CCC/C=C(/*)c1ccccc1
PID00404,*CCC/C=C(/*)c1ccc(Cl)cc1
PID00405,*/C(C)=C(/*)[Si](C)(C)C
PID00406,*/C(C)=C(/*)[Si](C)(C)CC
PID00407,*/C(C)=C(/*)[Si](C)(C)CCC
PID00408,*/C(C)=C(/*)[Si](C)(C)CCCC
PID00409,*/C(C)=C(/*)[Si](C)(C)CCCCCCCC
