PID,SMILES
P030068,*CC(*)Cc1ccccc1C
P030069,*CC(*)Cc1ccc(C)cc1
P030070,*C(C)C(*)O
P030071,*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1
P030072,*CC(*)C(=O)C(C)(C)C
P030074,*CC(*)C(=O)C1CCCCC1
P030075,*CC(*)OC(=O)CCCCCCCCCCCCC
P030076,*CC(*)C(=O)c1ccccc1O
P030077,*/C=C/C(C*)OC
P030078,*CC/C=C(/*)c1ccccc1
P030079,*C(*)O
P030080,*CC(*)OCC(CC)CCCC
P030081,*CC(*)SCCCC
P030082,*CC(*)OC1CCCCC1
P030083,*CC(*)SCC
P030084,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
P030085,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F
P030086,*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F
P030087,*C(OC(F)(F)F)C(*)(F)F
P030088,*C(F)C(*)(F)OC(F)(F)F
P030089,*C(F)(F)C(*)(F)OC(F)(F)F
P030091,*CC(*)OCC(C)(C)CC
P030092,*CC(*)SC
P030093,*CC(*)OCCCCCCCC
P030094,*CC(*)OCCC
P030095,*CC(*)(F)C(C)=O
P030096,*CC(*)C(=O)c1ccccc1
P030097,*CC(*)C(=O)c1ccc(Br)c(OC)c1
P030098,*CC(*)C(=O)c1ccc(C(C)(C)C)cc1
P030099,*CC(*)C(=O)c1ccc(Cl)cc1
P030100,*CC(*)C(=O)c1ccc(CC)cc1
P030101,*CC(*)C(=O)c1ccc(C(C)C)cc1
P030102,*CC(*)C(=O)c1ccc(OC)cc1
P030103,*CC(*)C(=O)c1ccc(C)c(C)c1
P030104,*CC(*)C(=O)c1ccc(CCC)cc1
P030105,*CC(*)C(=O)c1ccc(C)cc1
P030107,*CC(*)OC(=O)c1ccccc1OC(C)=O
P030108,*CC(*)OC(=O)c1ccc(OC(C)=O)cc1
P030109,*CC(*)OC(=O)CCCC(=O)c1ccccc1
P030110,*CC(*)OC(=O)c1cccc(Br)c1
P030111,*CC(*)OC(=O)c1ccc(Br)cc1
