SMILES,Cp,Molar Mass (g/mol)
*CC(*)C(=O)c1ccccc1,1237.65,132.15
*CC(*)C(=O)c1ccc(Br)c(OC)c1,1208.44,241.07
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,1430.91,188.26
*CC(*)C(=O)c1ccc(Cl)cc1,1102.43,166.6
*CC(*)C(=O)c1ccc(CC)cc1,1357.31,160.21
*CC(*)C(=O)c1ccc(C(C)C)cc1,1395.5,174.23
*CC(*)C(=O)c1ccc(OC)cc1,1344.68,162.18
*CC(*)C(=O)c1ccc(C)c(C)c1,1389.71,160.21
*CC(*)C(=O)c1ccc(CCC)cc1,1393.54,174.23
*CC(*)C(=O)c1ccc(C)cc1,1314.13,146.18
*CC(*)OC(=O)c1ccccc1OC(C)=O,1300.4,206.19
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,1300.4,206.19
*CC(*)OC(=O)CCCC(=O)c1ccccc1,1342.45,218.24
*CC(*)OC(=O)c1cccc(Br)c1,1133.96,227.05
*CC(*)OC(=O)c1ccc(Br)cc1,1133.96,227.05
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,1361.11,234.24
*CC(*)OC(=O)c1ccccc1Cl,1129.93,182.6
*CC(*)OC(=O)c1cccc(Cl)c1,1129.93,182.6
*CC(*)OC(=O)c1ccc(Cl)cc1,1129.93,182.6
*CC(*)OC(=O)C1CCCCC1,1533.51,154.2
*CC(*)OC(=O)CC1CCCCC1,1556.34,168.23
*CC(*)OC(=O)CCCC1CCCCC1,1592.22,196.28
*CC(*)OC(=O)c1ccc(OCC)cc1,1384.4,192.21
*CC(*)OC(=O)c1ccc(CC)cc1,1362.67,176.21
*CC(*)OC(=O)C(C)(CC)C(C)(C)C,1680.52,184.27
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,1426.54,240.08
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1398.21,352.11
*CC(*)NC(=O)OC(C)(C)C,1544.64,174.2
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1431.86,540.14
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1429.36,340.1
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1430.89,440.12
*CC(*)OC(=O)C(F)(F)C(F)(F)F,1424.02,190.07
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1428.19,290.09
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1397.24,190.23
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,1677.54,184.27
*CC(*)OC(=O)c1ccccc1OC,1351.11,178.18
*CC(*)OC(=O)c1cccc(OC)c1,1351.11,178.18
*CC(*)OC(=O)c1ccc(OC)cc1,1351.11,178.18
*CC(*)OC(=O)c1ccccc1C,1324.21,162.18
*CC(*)OC(=O)c1cccc(C)c1,1324.21,162.18
*CC(*)OC(=O)c1ccc(C)cc1,1324.21,162.18
*CC(*)OC(=O)CC(C)(C)c1ccccc1,1414.14,204.26
*CC(*)OC(=O)c1cccc([Si](C)(C)C)c1,1468.74,206.26
*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1,1468.74,206.26
*CC(*)OC(=O)C(C)(C)CCC,1649.87,156.22
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,1680.52,184.27
*CC(*)OC(=O)C(C)(C)C(C)C(C)C,1677.54,184.27
*CC(*)OC(=O)C(C)(C)CC(C)(C)C,1680.52,184.27
*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1,1285.39,193.16
*CC(*)OC(=O)CCCCCCC,1655.62,170.24
*CC(*)OC(F)(C(F)(F)F)C(F)(F)F,1485.8,212.07
*CC(*)OC(=O)CCl,1216.88,120.53
*CC(*)c1cccs1,1066.91,110.18
*CC(*)OCCCl,1357.44,106.55
*CC(*)OCCOC,1753.16,102.13
*CC(*)OCC(F)(F)F,1560.99,126.08
*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,1650.79,326.46
*CC(*)OC(=O)C1CCCC1,1506.11,140.18
*CC(*)OC(=O)C1(C)CCCCC1,1561.63,168.23
*CC(*)OC(=O)CCCCCCCCC,1677.09,198.3
*CC(*)OC(=O)CCCCC,1625.69,142.19
*C1Cc2ccccc2C1*,1216.92,116.15
*CC(OC)C1C(=O)OC(=O)C1*,1371.45,156.13
*CC(OC)C(C(=O)O)C(*)C(=O)O,1340.05,174.15
*C#C/C(OS(=O)(=O)c1ccc(C)cc1)=C(/*)OS(=O)(=O)c1ccc(C)cc1,1090.79,390.43
*CCC/C=C(/*)c1ccc(OC)cc1,1496.68,174.23
*CCC/C=C(/*)c1ccccc1,1430.25,144.21
*CCC/C=C(/*)c1ccc(Cl)cc1,1267.02,178.65
*/C(C)=C(/*)[Si](C)(C)C,1836.28,98.17
