PID,SMILES,Cp,No Zero Cp Group
P030093,*CC(*)OCCCCCCCC,1702.93,True
P030094,*CC(*)OCCC,1617.9,True
P030095,*CC(*)(F)C(C)=O,1213.67,True
P030096,*CC(*)C(=O)c1ccccc1,1132.01,True
P030097,*CC(*)C(=O)c1ccc(Br)c(OC)c1,871.11,True
P030098,*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,1283.88,True
P030099,*CC(*)C(=O)c1ccc(Cl)cc1,1019.83,True
P030100,*CC(*)C(=O)c1ccc(CC)cc1,1242.46,True
P030101,*CC(*)C(=O)c1ccc(C(C)C)cc1,1263.83,True
P030102,*CC(*)C(=O)c1ccc(OC)cc1,1174.62,True
P030103,*CC(*)C(=O)c1ccc(C)c(C)c1,1234.66,True
P030104,*CC(*)C(=O)c1ccc(CCC)cc1,1287.94,True
P030105,*CC(*)C(=O)c1ccc(C)cc1,1188.26,True
P030107,*CC(*)OC(=O)c1ccccc1OC(C)=O,1176.83,True
P030108,*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,1176.83,True
P030109,*CC(*)OC(=O)CCCC(=O)c1ccccc1,1244.72,True
P030110,*CC(*)OC(=O)c1cccc(Br)c1,845.86,True
P030111,*CC(*)OC(=O)c1ccc(Br)cc1,845.86,True
P030112,*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,1252.34,True
P030113,*CC(*)OC(=O)c1ccccc1Cl,1056.16,True
P030114,*CC(*)OC(=O)c1cccc(Cl)c1,1056.16,True
P030115,*CC(*)OC(=O)c1ccc(Cl)cc1,1056.16,True
P030116,*CC(*)OC(=O)C1CCCCC1,1487.01,True
P030117,*CC(*)OC(=O)CC1CCCCC1,1513.72,True
P030118,*CC(*)OC(=O)CCCC1CCCCC1,1555.69,True
P030120,*CC(*)OC(=O)c1ccc(OCC)cc1,1242.42,True
P030121,*CC(*)OC(=O)c1ccc(CC)cc1,1259.89,True
P030122,*CC(*)OC(=O)C(C)(CC)C(C)(C)C,1515.17,True
P030123,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,1063.59,True
P030124,*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1021.12,True
P030125,*CC(*)NC(=O)OC(C)(C)C,1334.31,True
P030126,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1017.04,True
P030127,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1038.95,True
P030128,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1025.51,True
P030129,*CC(*)OC(=O)C(F)(F)C(F)(F)F,1085.63,True
P030130,*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1049.14,True
P030132,*CC(*)OC(=O)c1ccc(C(C)C)cc1,1278.18,True
P030133,*CC(*)OC(=O)C(C)(C(C)C)C(C)C,1513.27,True
P030134,*CC(*)OC(=O)c1ccccc1OC,1197.95,True
P030135,*CC(*)OC(=O)c1cccc(OC)c1,1197.95,True
P030136,*CC(*)OC(=O)c1ccc(OC)cc1,1197.95,True
P030137,*CC(*)OC(=O)c1ccccc1C,1212.54,True
P030138,*CC(*)OC(=O)c1cccc(C)c1,1212.54,True
P030139,*CC(*)OC(=O)c1ccc(C)cc1,1212.54,True
P030140,*CC(*)OC(=O)CC(C)(C)c1ccccc1,1301.78,True
P030141,*CC(*)OC(=O)c1cccc([Si](C)(C)C)c1,1335.95,True
P030142,*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1,1335.95,True
P030143,*CC(*)OC(=O)C(C)(C)CCC,1514.23,True
